=== exp_roof_030 | car->van | MODE=adversarial | AREA_FRAC=0.2 | IMG_SIZE=640 | ROT_DEG=20.0 | LR=0.03 | LOWER_TALL=0.6 | LOWER_WIDE=0.75 | ROOF_LEN=0.3 | ROOF_WID=0.7 | MIN_AREA_FRAC=0.001 ===
[eval ] datasets/VisDrone/images/test: 1360 images | 11446 cars | 16628 dropped below 0.10% area
[train] datasets/VisDrone/images/val: 100 images | 1159 cars
  epoch 93/160  total 10866.711  margin 4449.128  hinge 6416.902  tv 0.680  (292s)
  epoch 94/160  total 10843.469  margin 4448.371  hinge 6394.426  tv 0.672  (295s)
  epoch 95/160  total 10829.214  margin 4452.733  hinge 6375.791  tv 0.690  (299s)
  epoch 96/160  total 10846.090  margin 4446.558  hinge 6398.855  tv 0.677  (302s)
  epoch 97/160  total 10871.524  margin 4451.028  hinge 6419.825  tv 0.671  (305s)
  epoch 98/160  total 10837.947  margin 4442.045  hinge 6395.223  tv 0.679  (308s)
  epoch 99/160  total 10861.295  margin 4461.521  hinge 6399.098  tv 0.675  (312s)
  epoch 100/160  total 10836.585  margin 4445.024  hinge 6390.883  tv 0.678  (315s)
  epoch 101/160  total 10872.008  margin 4466.589  hinge 6404.743  tv 0.676  (318s)
  epoch 102/160  total 10888.050  margin 4465.290  hinge 6422.069  tv 0.691  (321s)
  epoch 103/160  total 10865.477  margin 4457.704  hinge 6407.085  tv 0.689  (325s)
  epoch 104/160  total 10895.832  margin 4480.599  hinge 6414.537  tv 0.696  (328s)
  epoch 105/160  total 10896.962  margin 4455.772  hinge 6440.480  tv 0.711  (331s)
  epoch 106/160  total 10856.115  margin 4458.042  hinge 6397.374  tv 0.699  (335s)
  epoch 107/160  total 10847.948  margin 4463.269  hinge 6384.002  tv 0.677  (338s)
  epoch 108/160  total 10847.279  margin 4442.621  hinge 6403.966  tv 0.692  (341s)
  epoch 109/160  total 10902.904  margin 4466.354  hinge 6435.870  tv 0.680  (344s)
  epoch 110/160  total 10837.997  margin 4443.880  hinge 6393.431  tv 0.687  (347s)
  epoch 111/160  total 10839.052  margin 4440.449  hinge 6397.910  tv 0.693  (351s)
  epoch 112/160  total 10888.048  margin 4469.140  hinge 6418.225  tv 0.683  (354s)
  epoch 113/160  total 10854.366  margin 4449.064  hinge 6404.604  tv 0.697  (357s)
  epoch 114/160  total 10846.027  margin 4457.081  hinge 6388.265  tv 0.682  (360s)
  epoch 115/160  total 10774.942  margin 4443.080  hinge 6331.189  tv 0.673  (364s)
  epoch 116/160  total 10846.946  margin 4450.519  hinge 6395.743  tv 0.685  (367s)
  epoch 117/160  total 10855.341  margin 4453.433  hinge 6401.222  tv 0.686  (370s)
  epoch 118/160  total 10839.729  margin 4448.026  hinge 6391.028  tv 0.676  (373s)
  epoch 119/160  total 10858.613  margin 4454.703  hinge 6403.217  tv 0.693  (376s)
  epoch 120/160  total 10836.599  margin 4438.812  hinge 6397.113  tv 0.674  (379s)
