=== s2n_center_05_e160 | car->van | MODE=adversarial | AREA_FRAC=0.05 | IMG_SIZE=640 | MIN_AREA_FRAC=0.001 ===
[eval ] datasets/VisDrone/images/test: 1360 images | 11446 cars | 16628 dropped below 0.10% area
[train] datasets/VisDrone/images/val: 100 images | 1159 cars
  epoch 93/160  total 11552.530  margin 4385.213  hinge 7166.532  tv 0.785  (262s)
  epoch 94/160  total 11564.394  margin 4397.327  hinge 7166.285  tv 0.782  (264s)
  epoch 95/160  total 11574.099  margin 4393.400  hinge 7179.899  tv 0.801  (267s)
  epoch 96/160  total 11577.472  margin 4399.039  hinge 7177.637  tv 0.796  (270s)
  epoch 97/160  total 11543.499  margin 4386.188  hinge 7156.530  tv 0.780  (273s)
  epoch 98/160  total 11554.617  margin 4384.037  hinge 7169.803  tv 0.778  (276s)
  epoch 99/160  total 11570.453  margin 4400.789  hinge 7168.887  tv 0.777  (278s)
  epoch 100/160  total 11558.157  margin 4384.180  hinge 7173.206  tv 0.771  (281s)
  epoch 101/160  total 11567.609  margin 4396.863  hinge 7169.966  tv 0.779  (284s)
  epoch 102/160  total 11558.466  margin 4393.955  hinge 7163.730  tv 0.782  (287s)
  epoch 103/160  total 11564.534  margin 4396.401  hinge 7167.337  tv 0.795  (289s)
  epoch 104/160  total 11574.995  margin 4403.599  hinge 7170.596  tv 0.800  (292s)
  epoch 105/160  total 11555.320  margin 4393.584  hinge 7160.940  tv 0.796  (295s)
  epoch 106/160  total 11558.198  margin 4389.518  hinge 7167.867  tv 0.813  (298s)
  epoch 107/160  total 11553.627  margin 4385.228  hinge 7167.606  tv 0.793  (301s)
  epoch 108/160  total 11551.560  margin 4387.374  hinge 7163.408  tv 0.778  (304s)
  epoch 109/160  total 11553.382  margin 4382.175  hinge 7170.423  tv 0.784  (306s)
  epoch 110/160  total 11558.781  margin 4390.898  hinge 7167.084  tv 0.800  (309s)
  epoch 111/160  total 11548.465  margin 4383.419  hinge 7164.237  tv 0.808  (312s)
  epoch 112/160  total 11574.411  margin 4393.883  hinge 7179.725  tv 0.802  (315s)
  epoch 113/160  total 11557.270  margin 4384.586  hinge 7171.898  tv 0.786  (318s)
  epoch 114/160  total 11579.328  margin 4401.758  hinge 7176.784  tv 0.787  (321s)
  epoch 115/160  total 11550.275  margin 4389.222  hinge 7160.263  tv 0.790  (324s)
  epoch 116/160  total 11565.230  margin 4392.863  hinge 7171.577  tv 0.789  (327s)
  epoch 117/160  total 11553.557  margin 4385.737  hinge 7167.032  tv 0.788  (330s)
  epoch 118/160  total 11547.563  margin 4377.837  hinge 7168.938  tv 0.789  (332s)
  epoch 119/160  total 11555.067  margin 4390.332  hinge 7163.935  tv 0.799  (335s)
  epoch 120/160  total 11550.332  margin 4381.329  hinge 7168.220  tv 0.782  (338s)
  epoch 121/160  total 11550.682  margin 4381.909  hinge 7168.002  tv 0.770  (341s)
  epoch 122/160  total 11532.457  margin 4375.140  hinge 7156.545  tv 0.772  (344s)
  epoch 123/160  total 11572.465  margin 4390.772  hinge 7180.907  tv 0.785  (346s)
  epoch 124/160  total 11568.144  margin 4389.660  hinge 7177.687  tv 0.796  (349s)
  epoch 125/160  total 11562.858  margin 4386.135  hinge 7175.937  tv 0.786  (352s)
  epoch 126/160  total 11556.530  margin 4390.529  hinge 7165.220  tv 0.780  (355s)
  epoch 127/160  total 11569.730  margin 4391.099  hinge 7177.853  tv 0.778  (358s)
  epoch 128/160  total 11530.914  margin 4372.810  hinge 7157.324  tv 0.780  (360s)
  epoch 129/160  total 11549.235  margin 4384.917  hinge 7163.531  tv 0.788  (363s)
  epoch 130/160  total 11553.844  margin 4387.854  hinge 7165.204  tv 0.786  (366s)
  epoch 131/160  total 11565.859  margin 4389.368  hinge 7175.711  tv 0.779  (369s)
  epoch 132/160  total 11562.590  margin 4391.891  hinge 7169.915  tv 0.784  (372s)
  epoch 133/160  total 11527.778  margin 4371.954  hinge 7155.045  tv 0.779  (375s)
  epoch 134/160  total 11542.343  margin 4379.608  hinge 7161.961  tv 0.775  (377s)
  epoch 135/160  total 11556.141  margin 4387.953  hinge 7167.405  tv 0.783  (380s)
  epoch 136/160  total 11538.265  margin 4379.868  hinge 7157.610  tv 0.786  (383s)
  epoch 137/160  total 11529.115  margin 4377.553  hinge 7150.782  tv 0.780  (386s)
  epoch 138/160  total 11548.961  margin 4383.378  hinge 7164.811  tv 0.772  (389s)
  epoch 139/160  total 11544.249  margin 4381.365  hinge 7162.110  tv 0.774  (391s)
  epoch 140/160  total 11560.628  margin 4390.681  hinge 7169.174  tv 0.773  (394s)
  epoch 141/160  total 11554.570  margin 4384.894  hinge 7168.897  tv 0.779  (397s)
  epoch 142/160  total 11567.729  margin 4394.430  hinge 7172.516  tv 0.783  (400s)
  epoch 143/160  total 11548.814  margin 4382.809  hinge 7165.226  tv 0.779  (403s)
  epoch 144/160  total 11568.004  margin 4393.906  hinge 7173.319  tv 0.779  (405s)
  epoch 145/160  total 11554.192  margin 4387.130  hinge 7166.294  tv 0.768  (408s)
  epoch 146/160  total 11554.313  margin 4385.499  hinge 7168.046  tv 0.768  (411s)
  epoch 147/160  total 11556.329  margin 4381.176  hinge 7174.393  tv 0.760  (414s)
  epoch 148/160  total 11537.458  margin 4374.365  hinge 7162.324  tv 0.770  (417s)
  epoch 149/160  total 11558.552  margin 4385.392  hinge 7172.385  tv 0.775  (420s)
  epoch 150/160  total 11550.019  margin 4387.201  hinge 7162.047  tv 0.770  (422s)
  epoch 151/160  total 11548.299  margin 4382.134  hinge 7165.394  tv 0.771  (425s)
  epoch 152/160  total 11578.460  margin 4395.336  hinge 7182.348  tv 0.776  (428s)
  epoch 153/160  total 11549.478  margin 4385.602  hinge 7163.102  tv 0.774  (431s)
  epoch 154/160  total 11548.319  margin 4386.144  hinge 7161.406  tv 0.769  (434s)
  epoch 155/160  total 11550.253  margin 4381.431  hinge 7168.053  tv 0.769  (436s)
  epoch 156/160  total 11543.423  margin 4374.458  hinge 7168.204  tv 0.761  (439s)
  epoch 157/160  total 11563.337  margin 4388.052  hinge 7174.517  tv 0.769  (442s)
  epoch 158/160  total 11539.163  margin 4376.242  hinge 7162.158  tv 0.763  (445s)
  epoch 159/160  total 11551.757  margin 4384.649  hinge 7166.346  tv 0.762  (447s)
  epoch 160/160  total 11541.840  margin 4379.954  hinge 7161.134  tv 0.752  (450s)
[save] patch_examples_s2n_center_05_e160/universal_patch.png

Evaluating on 1360 images...
ROOF: roof_frac=4.8% n=11446

==== CAR->VAN — s2n_center_05_e160 (patch = 5% of bbox) ====
eval images        : 1360
eligible (car clean): 9415
flipped to van      : 1059
lost entirely       : 871  (hiding side-effect, NOT a flip)

targeted ASR: 0.112   <- HEADLINE
lost rate   : 0.093
