Training RetinaNet-ResNet50, FPN_MODE=custom, 640px, 30 epochs
/home/aarav/attack_env/lib/python3.12/site-packages/torchvision/models/_utils.py:135: UserWarning: Using 'backbone_name' as positional parameter(s) is deprecated since 0.13 and may be removed in the future. Please use keyword parameter(s) instead.
  warnings.warn(
Epoch 11 done, avg loss 0.593
  ep12/30 it0/809 loss 0.580 lr 0.00070
  ep12/30 it50/809 loss 0.522 lr 0.00070
  ep12/30 it100/809 loss 0.578 lr 0.00070
  ep12/30 it150/809 loss 0.438 lr 0.00070
  ep12/30 it200/809 loss 0.637 lr 0.00070
  ep12/30 it250/809 loss 0.436 lr 0.00070
  ep12/30 it300/809 loss 0.603 lr 0.00070
  ep12/30 it350/809 loss 0.624 lr 0.00070
  ep12/30 it400/809 loss 0.657 lr 0.00070
  ep12/30 it450/809 loss 0.528 lr 0.00070
  ep12/30 it500/809 loss 0.712 lr 0.00070
  ep12/30 it550/809 loss 0.553 lr 0.00070
  ep12/30 it600/809 loss 0.749 lr 0.00070
  ep12/30 it650/809 loss 0.629 lr 0.00070
  ep12/30 it700/809 loss 0.576 lr 0.00070
  ep12/30 it750/809 loss 0.593 lr 0.00070
  ep12/30 it800/809 loss 0.707 lr 0.00070
Epoch 12 done, avg loss 0.581
  ep13/30 it0/809 loss 0.499 lr 0.00065
  ep13/30 it50/809 loss 0.559 lr 0.00065
  ep13/30 it100/809 loss 0.510 lr 0.00065
  ep13/30 it150/809 loss 0.553 lr 0.00065
  ep13/30 it200/809 loss 0.620 lr 0.00065
  ep13/30 it250/809 loss 0.587 lr 0.00065
  ep13/30 it300/809 loss 0.507 lr 0.00065
  ep13/30 it350/809 loss 0.537 lr 0.00065
  ep13/30 it400/809 loss 0.516 lr 0.00065
  ep13/30 it450/809 loss 0.554 lr 0.00065
  ep13/30 it500/809 loss 0.498 lr 0.00065
  ep13/30 it550/809 loss 0.546 lr 0.00065
  ep13/30 it600/809 loss 0.705 lr 0.00065
  ep13/30 it650/809 loss 0.540 lr 0.00065
  ep13/30 it700/809 loss 0.452 lr 0.00065
  ep13/30 it750/809 loss 0.469 lr 0.00065
  ep13/30 it800/809 loss 0.667 lr 0.00065
Epoch 13 done, avg loss 0.571
  ep14/30 it0/809 loss 0.567 lr 0.00060
